date	collect	ordering	recieve	testresult	verified
1392978000000	13	4	8	4	3
1392978060000	3	5	10	4	5
1392978120000	3	14	12	14	12
1392978180000	12	7	3	4	8
1392978240000	7	8	12	3	11
1392978300000	10	3	8	3	10
1392978360000	10	3	8	5	3
1392978420000	8	3	3	3	3
1392978480000	4	12	12	4	14
1392978540000	9	7	3	11	11
1392978600000	5	4	12	3	10
1392978660000	9	7	9	3	5
1392978720000	9	4	7	6	5
1392978780000	12	13	4	3	7
1392978840000	9	3	11	6	13
1392978900000	5	10	10	12	3
1392978960000	4	6	7	3	3
1392979020000	11	9	5	6	13
1392979080000	3	5	8	3	11
1392979140000	13	9	9	5	6
1392979200000	5	8	9	6	8
1392979260000	8	12	9	12	11
1392979320000	3	3	7	10	7
1392979380000	14	3	11	7	13
1392979440000	3	11	13	8	13
1392979500000	14	12	4	7	7
1392979560000	3	5	3	12	10
1392979620000	13	13	8	12	4
1392979680000	14	3	13	3	3
1392979740000	10	8	11	12	3
1392979800000	5	4	6	11	5
1392979860000	3	12	6	10	11
1392979920000	3	12	4	7	5
1392979980000	3	9	4	3	10
1392980040000	11	3	10	12	7
1392980100000	8	8	7	3	10
1392980160000	10	11	8	3	13
1392980220000	7	11	11	11	11
1392980280000	5	12	13	7	4
1392980340000	4	7	6	6	3
1392980400000	5	6	4	11	10
1392980460000	14	9	5	12	10
1392980520000	5	5	8	3	8
1392980580000	3	9	11	12	7
1392980640000	3	9	10	3	3
1392980700000	6	10	5	6	7
1392980760000	3	5	14	9	10
1392980820000	3	9	13	9	11
1392980880000	9	11	8	6	9
1392980940000	10	4	3	12	6
1392981000000	10	14	11	3	9
1392981060000	10	6	11	8	3
1392981120000	14	11	6	14	13
1392981180000	3	14	5	7	3
1392981240000	14	13	13	14	9
1392981300000	3	8	3	3	3
1392981360000	14	10	8	5	11
1392981420000	8	6	6	12	12
1392981480000	4	3	13	3	14
1392981540000	3	8	11	10	10
1392981600000	10	8	13	8	6
1392981660000	8	12	13	4	5
1392981720000	3	13	13	7	5
1392981780000	3	12	5	13	7
1392981840000	6	14	5	10	5
1392981900000	4	3	10	11	4
1392981960000	11	11	12	3	3
1392982020000	12	7	3	12	8
1392982080000	3	4	9	11	10
1392982140000	5	5	6	13	3
1392982200000	8	3	6	3	3
1392982260000	12	10	9	12	8
1392982320000	3	4	6	3	6
1392982380000	9	3	9	12	3
1392982440000	3	11	8	8	11
1392982500000	10	5	4	3	9
1392982560000	6	10	13	4	9
1392982620000	3	3	3	6	4
1392982680000	8	11	3	8	6
1392982740000	3	10	3	3	11
1392982800000	3	3	3	6	9
1392982860000	14	9	7	14	13
1392982920000	3	9	7	13	8
1392982980000	3	14	3	3	4
1392983040000	14	3	10	3	14
1392983100000	6	11	3	3	4
1392983160000	7	8	7	13	3
1392983220000	8	10	4	12	4
1392983280000	3	9	9	3	6
1392983340000	14	4	4	8	14
1392983400000	11	11	9	12	11
1392983460000	7	12	3	6	11
1392983520000	11	12	5	6	13
1392983580000	14	14	11	5	12
1392983640000	5	10	7	11	11
1392983700000	3	14	7	10	14
1392983760000	9	3	7	4	3
1392983820000	5	12	11	12	4
1392983880000	13	3	8	3	6
1392983940000	4	3	7	14	11
1392984000000	14	3	8	5	6
1392984060000	5	8	10	6	3
1392984120000	12	11	3	6	6
1392984180000	14	7	5	14	3
1392984240000	10	3	13	3	7
1392984300000	7	9	13	6	10
1392984360000	5	3	3	7	13
1392984420000	6	3	13	3	10
1392984480000	3	6	14	8	10
1392984540000	8	8	9	9	12
1392984600000	14	14	14	12	3
1392984660000	3	5	3	6	9
1392984720000	4	3	3	12	14
1392984780000	3	4	13	5	6
1392984840000	9	7	7	3	3
1392984900000	4	3	3	5	7
1392984960000	10	3	3	12	3
1392985020000	12	11	13	3	7
1392985080000	14	14	3	5	4
1392985140000	6	3	5	7	9
1392985200000	7	6	5	11	14
1392985260000	3	7	3	14	7
1392985320000	6	4	11	5	5
1392985380000	11	11	3	6	5
1392985440000	8	13	4	3	8
1392985500000	8	3	4	3	12
1392985560000	3	6	9	9	10
1392985620000	3	9	3	3	3
1392985680000	3	13	9	3	12
1392985740000	3	4	6	4	3
1392985800000	13	3	4	9	6
1392985860000	7	3	13	10	4
1392985920000	3	4	3	7	4
1392985980000	5	9	3	14	8
1392986040000	12	5	11	3	3
1392986100000	12	11	7	12	5
1392986160000	12	11	11	13	6
1392986220000	12	14	11	4	3
1392986280000	3	13	6	8	14
1392986340000	5	3	9	4	3
1392986400000	13	11	3	14	11
1392986460000	3	4	3	13	6
1392986520000	5	14	14	3	3
1392986580000	3	14	12	3	8
1392986640000	9	9	6	14	13
1392986700000	7	3	14	9	12
1392986760000	13	5	9	12	10
1392986820000	12	13	11	4	12
1392986880000	4	7	5	7	14
1392986940000	9	3	10	7	4
1392987000000	5	7	12	12	10
1392987060000	13	8	13	3	3
1392987120000	10	3	9	3	12
1392987180000	11	11	11	13	3
1392987240000	3	6	5	10	3
1392987300000	3	14	12	10	3
1392987360000	5	6	4	7	10
1392987420000	8	9	3	12	13
1392987480000	8	7	9	6	12
1392987540000	3	5	9	4	12
1392987600000	13	7	12	3	3
1392987660000	4	5	5	3	3
1392987720000	13	3	10	3	11
1392987780000	6	12	3	13	9
1392987840000	8	10	3	7	3
1392987900000	3	5	4	12	5
1392987960000	9	4	10	3	5
1392988020000	3	3	5	3	12
1392988080000	3	11	7	8	10
1392988140000	9	9	4	5	3
1392988200000	3	5	3	10	3
1392988260000	10	6	10	3	3
1392988320000	8	10	4	5	3
1392988380000	6	3	10	3	3
1392988440000	10	13	11	11	14
1392988500000	13	11	13	14	5
1392988560000	10	3	10	5	3
1392988620000	9	3	7	8	13
1392988680000	12	5	5	3	9
1392988740000	4	3	3	4	3
1392988800000	11	7	3	6	13
1392988860000	7	11	11	14	9
1392988920000	3	7	14	10	8
1392988980000	13	9	8	11	6
1392989040000	10	11	14	8	3
1392989100000	7	10	11	3	3
1392989160000	3	14	3	14	8
1392989220000	7	4	6	9	7
1392989280000	6	11	10	14	5
1392989340000	3	5	6	7	3
1392989400000	8	10	3	14	6
1392989460000	6	4	13	9	9
1392989520000	13	10	9	8	14
1392989580000	12	3	3	7	5
1392989640000	11	13	10	7	10
1392989700000	3	14	4	4	3
1392989760000	14	4	9	12	9
1392989820000	3	13	3	9	8
1392989880000	11	3	5	5	3
1392989940000	6	12	3	11	11
1392990000000	9	14	3	8	10
1392990060000	4	4	14	3	3
1392990120000	5	4	5	12	8
1392990180000	6	3	7	14	9
1392990240000	14	9	6	13	12
1392990300000	10	3	6	12	3
1392990360000	8	6	3	5	3
1392990420000	8	6	9	5	6
1392990480000	14	7	5	3	5
1392990540000	13	14	13	4	13
1392990600000	8	6	12	14	3
1392990660000	10	6	8	3	3
1392990720000	12	8	3	11	14
1392990780000	7	5	3	8	3
1392990840000	13	14	3	3	11
1392990900000	7	3	3	5	3
1392990960000	7	3	9	10	4
1392991020000	8	9	14	12	3
1392991080000	3	7	12	10	3
1392991140000	7	10	5	14	13
1392991200000	14	4	9	6	3
1392991260000	14	6	8	13	3
1392991320000	14	9	6	8	3
1392991380000	9	13	8	6	3
1392991440000	10	3	3	3	3
1392991500000	11	3	3	8	14
1392991560000	10	13	10	3	6
1392991620000	3	12	10	4	9
1392991680000	3	9	11	3	11
1392991740000	3	8	12	6	13
1392991800000	11	13	7	3	3
1392991860000	13	7	7	8	12
1392991920000	3	13	4	3	5
1392991980000	10	8	11	9	12
1392992040000	13	4	11	4	13
1392992100000	8	8	8	11	4
1392992160000	11	14	12	12	3
1392992220000	8	13	4	3	8
1392992280000	8	11	11	9	14
1392992340000	13	11	4	6	3
1392992400000	9	13	13	3	3
1392992460000	13	4	3	10	3
1392992520000	6	13	3	5	3
1392992580000	8	10	11	6	4
1392992640000	9	12	10	13	9
1392992700000	7	4	12	7	3
1392992760000	3	4	3	11	6
1392992820000	10	4	12	6	12
1392992880000	7	6	13	3	6
1392992940000	13	5	8	9	11
1392993000000	14	12	3	9	4
1392993060000	3	4	3	8	6
1392993120000	8	3	14	13	7
1392993180000	8	4	3	13	13
1392993240000	3	14	4	3	3
1392993300000	13	4	4	8	11
1392993360000	12	3	13	9	14
1392993420000	7	8	3	11	8
1392993480000	9	6	13	11	7
1392993540000	14	4	9	3	8
1392993600000	4	8	4	11	9
1392993660000	10	9	4	14	8
1392993720000	12	14	8	3	12
1392993780000	10	11	3	13	12
1392993840000	5	12	7	11	6
1392993900000	3	3	14	3	3
1392993960000	6	3	13	5	9
1392994020000	11	3	3	3	12
1392994080000	8	3	10	11	7
1392994140000	11	10	12	3	9
1392994200000	7	3	11	9	12
1392994260000	12	11	3	14	4
1392994320000	5	4	12	13	7
1392994380000	12	4	10	5	3
1392994440000	13	12	3	5	14
1392994500000	5	3	11	13	14
1392994560000	8	3	14	13	10
1392994620000	9	6	8	11	3
1392994680000	9	3	10	9	13
1392994740000	9	6	3	12	8
1392994800000	11	12	3	8	8
1392994860000	12	14	14	9	8
1392994920000	7	11	3	4	5
1392994980000	12	13	5	3	5
1392995040000	10	10	9	3	10
1392995100000	3	3	4	10	12
1392995160000	8	5	6	5	12
1392995220000	3	6	6	4	3
1392995280000	13	9	6	8	7
1392995340000	14	14	6	7	10
1392995400000	12	9	10	5	3
1392995460000	3	5	3	12	7
1392995520000	13	10	9	4	6
1392995580000	7	3	3	9	9
1392995640000	9	9	9	3	9
1392995700000	3	9	8	13	10
1392995760000	10	3	13	3	9
1392995820000	6	9	9	8	10
1392995880000	12	10	3	10	8
1392995940000	4	5	3	13	3
1392996000000	10	12	12	10	6
1392996060000	10	4	10	11	13
1392996120000	3	11	5	3	3
1392996180000	10	13	3	14	4
1392996240000	3	9	5	11	12
1392996300000	3	9	9	11	3
1392996360000	3	3	13	9	13
1392996420000	10	3	14	6	5
1392996480000	3	12	7	12	3
1392996540000	3	9	3	8	10
1392996600000	5	4	12	11	10
1392996660000	14	3	7	3	14
1392996720000	12	8	3	4	12
1392996780000	14	3	9	6	10
1392996840000	3	6	10	3	11
1392996900000	3	14	10	12	10
1392996960000	4	7	8	3	8
1392997020000	9	10	12	7	14
1392997080000	10	4	3	10	12
1392997140000	14	9	3	3	9
1392997200000	10	4	12	6	12
1392997260000	8	3	12	11	8
1392997320000	6	3	13	3	7
1392997380000	5	3	4	3	5
1392997440000	3	8	9	6	6
1392997500000	3	5	7	6	3
1392997560000	3	5	4	3	6
1392997620000	12	3	9	13	3
1392997680000	10	10	3	5	10
1392997740000	5	9	11	13	14
1392997800000	9	12	9	14	9
1392997860000	8	12	7	7	14
1392997920000	9	3	5	3	5
1392997980000	7	5	6	6	13
1392998040000	3	5	11	14	3
1392998100000	3	5	3	3	3
1392998160000	3	3	3	6	10
1392998220000	3	10	3	9	3
1392998280000	11	13	11	11	14
1392998340000	3	14	3	5	12
1392998400000	10	13	3	3	14
1392998460000	7	13	10	7	7
1392998520000	9	7	9	4	13
1392998580000	9	13	4	14	12
1392998640000	13	10	4	5	11
1392998700000	10	4	7	6	10
1392998760000	5	9	11	3	13
1392998820000	8	4	11	3	3
1392998880000	8	11	11	5	3
1392998940000	12	4	12	3	4
1392999000000	10	3	12	6	8
1392999060000	3	6	13	9	10
1392999120000	13	11	14	3	3
1392999180000	14	13	4	10	3
1392999240000	9	3	11	12	3
1392999300000	11	13	4	3	12
1392999360000	3	4	8	8	13
1392999420000	6	10	9	3	12
1392999480000	3	6	6	4	13
1392999540000	8	12	8	3	14
1392999600000	9	14	10	13	8
1392999660000	8	6	11	14	14
1392999720000	7	3	9	10	12
1392999780000	7	7	4	3	12
1392999840000	9	7	4	3	3
1392999900000	10	6	8	14	14
1392999960000	9	14	3	3	3
1393000020000	10	5	4	7	13
1393000080000	7	8	6	5	13
1393000140000	11	4	4	10	6
1393000200000	13	5	5	7	8
1393000260000	12	12	4	8	14
1393000320000	9	14	13	6	8
1393000380000	13	12	8	11	13
1393000440000	7	3	6	12	3
1393000500000	12	6	7	7	10
1393000560000	8	9	13	4	3
1393000620000	3	9	14	4	8
1393000680000	4	14	8	4	13
1393000740000	13	9	13	11	3
1393000800000	5	13	5	4	11
1393000860000	13	3	6	3	14
1393000920000	11	13	3	10	9
1393000980000	9	8	13	8	14
1393001040000	3	10	13	9	14
1393001100000	11	14	11	12	12
1393001160000	14	12	12	3	10
1393001220000	5	4	12	10	4
1393001280000	7	10	14	11	3
1393001340000	3	7	3	6	5
1393001400000	6	12	4	10	9
1393001460000	6	6	13	7	13
1393001520000	3	12	12	6	11
1393001580000	11	3	5	9	4
1393001640000	5	3	11	3	14
1393001700000	7	14	10	14	7
1393001760000	8	4	4	14	13
1393001820000	14	14	3	6	14
1393001880000	11	11	13	14	3
1393001940000	12	13	12	9	8
1393002000000	4	8	7	3	10
1393002060000	14	10	3	7	3
1393002120000	3	4	4	3	4
1393002180000	13	12	12	9	3
1393002240000	7	7	11	7	10
1393002300000	3	14	3	14	14
1393002360000	11	8	4	7	3
1393002420000	11	10	5	9	5
1393002480000	6	9	3	5	6
1393002540000	6	12	10	13	8
1393002600000	3	11	8	4	10
1393002660000	14	6	4	3	5
1393002720000	14	6	4	9	8
1393002780000	11	11	6	14	4
1393002840000	8	3	3	13	10
1393002900000	13	3	4	11	11
1393002960000	10	12	3	14	8
1393003020000	9	14	14	8	10
1393003080000	3	4	3	8	6
1393003140000	3	8	3	14	7
1393003200000	7	7	4	8	10
1393003260000	10	14	10	5	5
1393003320000	6	5	3	9	4
1393003380000	9	14	3	3	9
1393003440000	5	8	11	10	12
1393003500000	4	5	3	3	8
1393003560000	11	3	5	3	9
1393003620000	9	4	3	6	11
1393003680000	3	3	7	3	8
1393003740000	4	13	8	5	5
1393003800000	3	3	7	3	7
1393003860000	13	3	4	3	14
1393003920000	12	7	7	12	5
1393003980000	5	6	11	9	3
1393004040000	9	11	8	8	10
1393004100000	4	6	12	12	4
1393004160000	10	3	12	8	9
1393004220000	5	14	5	3	5
1393004280000	3	10	3	13	11
1393004340000	3	7	8	6	13
1393004400000	3	12	5	9	8
1393004460000	5	13	12	4	3
1393004520000	12	7	6	8	4
1393004580000	5	8	6	9	3
1393004640000	8	5	9	14	3
1393004700000	8	13	8	14	6
1393004760000	13	13	4	7	11
1393004820000	3	10	11	10	14
1393004880000	11	11	3	14	3
1393004940000	13	5	10	14	3
1393005000000	3	8	4	10	11
1393005060000	3	3	13	7	3
1393005120000	3	9	7	5	10
1393005180000	6	3	7	10	14
1393005240000	11	13	4	4	4
1393005300000	8	7	4	3	12
1393005360000	7	3	14	12	11
1393005420000	3	3	13	8	10
1393005480000	5	3	6	5	3
1393005540000	3	13	5	5	3
1393005600000	13	12	8	6	3
1393005660000	8	3	8	9	6
1393005720000	3	7	12	3	3
1393005780000	3	3	9	5	6
1393005840000	5	3	13	4	4
1393005900000	3	6	13	4	3
1393005960000	3	9	4	8	10
1393006020000	12	10	10	3	13
1393006080000	14	4	13	8	5
1393006140000	8	7	3	3	13
1393006200000	12	3	12	12	3
1393006260000	3	5	12	5	3
1393006320000	3	5	4	8	4
1393006380000	3	3	7	3	4
1393006440000	3	4	7	3	3
1393006500000	3	9	5	7	12
1393006560000	13	8	14	7	3
1393006620000	7	11	7	3	4
1393006680000	6	9	5	8	7
1393006740000	13	4	3	13	7
1393006800000	4	13	5	6	10
1393006860000	7	10	14	14	11
1393006920000	9	3	5	14	9
1393006980000	10	3	9	11	6
1393007040000	11	3	3	5	4
1393007100000	3	11	12	11	11
1393007160000	3	14	3	14	3
1393007220000	3	4	10	13	11
1393007280000	3	3	3	3	3
1393007340000	3	11	14	13	5
1393007400000	6	12	12	6	3
1393007460000	4	9	13	3	4
1393007520000	12	14	11	10	3
1393007580000	10	3	13	7	12
1393007640000	12	4	5	3	3
1393007700000	3	12	13	10	12
1393007760000	7	10	9	5	11
1393007820000	5	3	13	7	12
1393007880000	11	3	13	4	3
1393007940000	4	12	9	10	12
1393008000000	3	10	7	13	8
1393008060000	5	3	9	13	4
1393008120000	10	7	7	14	7
1393008180000	5	6	9	14	5
1393008240000	9	12	3	5	10
1393008300000	12	13	3	3	3
1393008360000	12	12	5	3	3
1393008420000	4	12	10	3	3
1393008480000	11	14	11	9	3
1393008540000	8	4	13	10	12
1393008600000	10	14	8	8	8
1393008660000	6	11	3	5	3
1393008720000	6	4	7	11	8
1393008780000	3	7	4	6	10
1393008840000	12	7	3	12	3
1393008900000	7	11	13	10	7
1393008960000	10	3	13	9	8
1393009020000	9	3	11	7	11
1393009080000	3	5	5	6	12
1393009140000	14	13	9	12	11
1393009200000	10	8	9	3	13
1393009260000	10	5	13	3	7
1393009320000	3	5	7	11	3
1393009380000	13	9	5	14	3
1393009440000	11	3	10	14	6
1393009500000	14	7	7	9	3
1393009560000	8	14	6	12	11
1393009620000	6	6	10	8	12
1393009680000	5	9	3	9	6
1393009740000	14	5	10	11	14
1393009800000	3	3	10	8	11
1393009860000	7	5	7	14	3
1393009920000	3	3	9	12	11
1393009980000	8	4	12	8	7
1393010040000	12	14	3	3	14
1393010100000	3	6	9	10	9
1393010160000	5	4	3	12	3
1393010220000	12	3	11	14	12
1393010280000	11	11	7	9	5
1393010340000	4	8	13	3	10
1393010400000	13	14	10	5	3
1393010460000	12	3	5	10	4
1393010520000	12	11	5	12	4
1393010580000	13	13	12	3	14
1393010640000	7	14	11	9	14
1393010700000	3	3	13	9	3
1393010760000	13	9	7	10	3
1393010820000	7	10	11	3	4
1393010880000	14	3	10	13	4
1393010940000	4	5	14	8	7
1393011000000	10	14	9	12	11
1393011060000	11	9	11	12	5
